region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
us,0.723408163,0.62155102,4.693877551,-6.070285714,0.734693878,0.119463265,0.195999367,0.006985309,0.134861224,0.523453061,115.8386735,224109.6122,3.979591837
se,0.675136364,0.691522727,5.340909091,-5.468522727,0.590909091,0.095768182,0.163910659,0.008724356,0.150622727,0.528709091,120.5906364,216039.3182,3.977272727
ee,0.686605634,0.652788732,5.366197183,-5.694549296,0.563380282,0.103521127,0.166350972,0.006619751,0.144438028,0.5262,117.9952958,218699.0282,3.985915493
nl,0.696791667,0.6826875,5,-5.261020833,0.541666667,0.083522917,0.156628521,0.007898128,0.145464583,0.558795833,115.7106667,213200.4583,3.979166667
nz,0.695163636,0.659054545,4.981818182,-5.792618182,0.636363636,0.111641818,0.169612164,0.008638991,0.151214545,0.515930909,118.1611455,224877.4545,3.981818182
global,0.715305556,0.662402778,5.125,-5.657027778,0.638888889,0.105994444,0.181427347,0.00665641,0.151259722,0.543988889,116.8120833,221362.1806,3.986111111
ar,0.72575,0.736041667,5.125,-4.623083333,0.583333333,0.078875,0.179495833,2.57E-05,0.144654167,0.652416667,114.9789583,230313.75,3.958333333
br,0.7057,0.708966667,5.333333333,-5.168366667,0.566666667,0.095706667,0.1701033,0.007422486,0.166056667,0.576606667,123.9841333,212595.5,4
pt,0.707213115,0.670721311,5.213114754,-5.560393443,0.62295082,0.100701639,0.17328523,0.005684811,0.145729508,0.522462295,118.1810984,222814.9508,3.983606557
cz,0.679632653,0.672530612,5.224489796,-5.362163265,0.612244898,0.083704082,0.158914878,0.007745585,0.1459,0.536636735,118.835898,216367.6735,3.979591837
gb,0.705545455,0.662963636,4.818181818,-5.789690909,0.618181818,0.108083636,0.178213982,0.008638812,0.148696364,0.551658182,117.7688545,219060.3273,3.981818182
sv,0.706785714,0.698238095,5.30952381,-5.214428571,0.523809524,0.082285714,0.151055452,0.005468154,0.159392857,0.554290476,118.7183095,220662.2381,3.976190476
gt,0.708285714,0.695742857,4.771428571,-5.233485714,0.6,0.081331429,0.159512257,0.006561296,0.161062857,0.560148571,120.5495143,220631.7143,3.971428571
tw,0.681666667,0.673355556,4.977777778,-5.352133333,0.6,0.076311111,0.186345089,0.00794742,0.144766667,0.538715556,117.7528222,212027.2444,3.977777778
do,0.71425,0.693305556,4.972222222,-5.394555556,0.583333333,0.083480556,0.172946361,0.008610658,0.160041667,0.575172222,120.0968056,220784.6667,4
lt,0.686236111,0.654430556,5.388888889,-5.685875,0.555555556,0.098301389,0.167768319,0.006528418,0.141765278,0.522345833,118.9004444,219553.4028,3.986111111
be,0.69655,0.672533333,5.116666667,-5.350983333,0.583333333,0.083545,0.167679483,0.007813299,0.148546667,0.549986667,116.91605,217056.3333,3.983333333
ec,0.7222,0.681433333,4.933333333,-5.244866667,0.6,0.079336667,0.185168,0.000284113,0.165613333,0.58774,118.2472667,222764.8667,3.966666667
